name,station,owner,duid,connection_id,connection_voltage,generator_classification,market_generator,schedule_type,updated_on,position,region,fuel_source_primary,fuel_source_secondary,tech_type_primary,tech_type_secondary,marker_type,reg_cap,max_cap,mlf_11,mlf_12,mlf_13,mlf_14,mlf_15,mlf_16,mlf_17,mlf_18,mlf_19,mlf_20
Northern PS,NORTHP,Flinders Operating Services Pty Ltd,NPS1,SNPA1,275,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-32.54171081368126,""lng"":137.79006085493864}",SA,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,260,260,0.9655,0.9601,0.9638,0.9746,0.9744,0.9826,,,,
Northern PS,NORTHP,Flinders Operating Services Pty Ltd,NPS2,SNPA2,275,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-32.54171081368126,""lng"":137.79006085493864}",SA,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,260,260,0.9655,0.9601,0.9638,0.9746,0.9744,0.9826,,,,
Playford B PS,PLAYF,Flinders Operating Services Pty Ltd,PLAYB-AG,SPSD1,275,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-32.53863177362726,""lng"":137.78226392540432}",SA,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,240,240,0.9677,0.9644,0.9573,0.9767,0.9882,0.9881,,,,
Mount Millar Windfarm,MTMILLAR,Mt Millar Wind Farm Pty Ltd,MTMILLAR,SMTM1,33,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-33.619374832583155,""lng"":136.71798304397}",SA,Wind,Wind,Renewable,Wind - Onshore,Wind,70,70,0.8973,0.9425,0.8983,0.9036,0.8971,0.9016,0.912,0.9172,0.9055, 0.8935 
Port Lincoln PS,PORTLCN,Synergen Power Pty Limited,POR01,SPLN1,132,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-34.70011789153905,""lng"":135.80574228845487}",SA,Diesel,Diesel,Combustion,Open Cycle Gas turbines (OCGT),Diesel,50,55,0.8654,0.8856,0.93,0.8772,0.9447,0.952,1.0011,1.0158,0.9691, 0.9669 
Port Lincoln PS,PORTLCN,Synergen Power Pty Limited,POR03,SPL31P,33,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-34.70011789153905,""lng"":135.80574228845487}",SA,Diesel,Diesel,Combustion,Open Cycle Gas turbines (OCGT),Diesel,23.5,23,0.8633,0.8933,0.9038,0.8783,0.9108,0.8976,1.0064,1.051,1.0383, 0.9702 
Cathedral Rocks WF,CATHROCK,Cathedral Rocks Wind Farm Pty Ltd,CATHROCK,SCRK,132,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-34.84791181413131,""lng"":135.59132672626114}",SA,Wind,Wind,Renewable,Wind - Onshore,Wind,66,66,0.8827,0.8982,0.8729,0.8777,0.8774,0.8775,0.8896,0.8965,0.886, 0.8857 
North Brown Hill WF,NBHWF,AGL Hydro Partnership,NBHWF1,SBEL1A,275,GENERATOR - SLOW,Yes,SEMI-SCHEDULED,26/3/15,"{""lat"":-33.22833674572447,""lng"":138.71789546952243}",SA,Wind,Wind,Renewable,Wind - Onshore,Wind,132.3,132,0.9659,0.9763,0.9694,0.974,0.9795,0.9767,0.9863,0.9798,0.9674, 0.9729 
Hallett PS,AGLHAL,EnergyAustralia Pty Ltd,AGLHAL,SHPS1,275,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-33.34841930783068,""lng"":138.75298165242685}",SA,Gas,Natural Gas,Combustion,Open Cycle Gas turbine (OCGT),Gas,180,220,0.9746,0.9722,0.9705,0.9794,0.9869,0.9835,0.99,0.982,0.9715, 0.9747 
Hallett WF,HALLWF,AGL Hydro Partnership,HALLWF1,SHPS2W,275,GENERATOR - SLOW,Yes,SEMI-SCHEDULED,26/3/15,"{""lat"":-33.32994506750665,""lng"":138.70620007522095}",SA,Wind,Wind,Renewable,Wind - Onshore,Wind,94.5,95,0.9746,0.9722,0.9705,0.9794,0.9869,0.9835,0.99,0.982,0.9715, 0.9747 
Hallett Hill WF,HALLWF2,AGL Hydro Partnership,HALLWF2,SMOK1H,275,GENERATOR - SLOW,Yes,SEMI-SCHEDULED,26/3/15,"{""lat"":-33.53931979117901,""lng"":138.85824020114012}",SA,Wind,Wind,Renewable,Wind - Onshore,Wind,71.4,71,0.9763,0.9758,0.9718,0.9778,0.9843,0.9811,0.9871,0.9818,0.9715, 0.9770 
Snowtown WF,SNOWTOWN,Snowtown Wind Farm Pty Ltd,SNOWTWN1,SNWF1T,132,GENERATOR - SLOW,Yes,SEMI-SCHEDULED,26/3/15,"{""lat"":-33.69019275382528,""lng"":138.1643134725859}",SA,Wind,Wind,Renewable,Wind - Onshore,Wind,99,99,0.9283,0.9163,0.9154,0.9272,0.9136,0.9198,0.9289,0.9296,0.9203, 0.9094 
Snowtown 2 Nth WF,SNOWNTH,Snowtown Wind Farm Stage 2 Pty Ltd,SNOWNTH1,SBLWS1,275,GENERATOR - SLOW,Yes,SEMI-SCHEDULED,26/3/15,"{""lat"":-33.7579316350134,""lng"":138.14482114875008}",SA,Wind,Wind,Renewable,Wind - Onshore,Wind,144,144,,,,,0.9861,0.9782,0.9888,0.9869,0.9813, 0.9721 
